name,secondary_name,has_multiple_locations,group
Aero Bars/Extensions/Bar Ends,Aero Bars,false,Additional Parts
Axle Nuts,,true,Wheels
Bashguard/Chain Guide,,false,Drivetrain
Basket,,true,Cargo
Bell/Noisemaker,,false,Additional Parts
Bottom Bracket,,false,Drivetrain
Brake,,true,Brakes
Brake Cable,,false,Brakes
Brake Lever,,true,Brakes
Brake Pad,,true,Brakes
Brake Rotor,,true,Brakes
Cargo Bike Side Rails,Cargo Bike Monkey Bars,false,Cargo
Chain,,false,Drivetrain
Chain Tensioners,Chain Tugs,false,Drivetrain
Chainrings,,false,Drivetrain
Child Seat,,false,Cargo
Cog/Cassette/Freewheel,,false,Drivetrain
Computer,,false,Additional Parts
Crankset,,false,Drivetrain
Derailleur,,false,Drivetrain
Detangler,,false,Brakes
e-vehicle Battery,Electric Vehicle Battery,false,Drivetrain
e-vehicle Charger,Electric Vehicle Charger,false,Drivetrain
e-vehicle Display/Remote,Electric Vehicle Computer,false,Drivetrain
e-vehicle Motor,Electric Vehicle Motor,false,Drivetrain
e-vehicle Wiring Harness,Electric Vehicle Wiring Harness,false,Drivetrain
Fairing,,false,Frame and Fork
Fender,,true,Additional Parts
Fork,,false,Frame and Fork
Frame Bag,,false,Cargo
Generator/Dynamo,,true,Wheels
Grips/Tape,,false,Additional Parts
Handlebar,,false,Additional Parts
Handlebar Bag,,false,Cargo
Headset,,false,Frame and Fork
Hub,,true,Wheels
Hub Guard,,false,Additional Parts
Kickstand,,false,Additional Parts
Lights,,true,Additional Parts
Pannier,Rack Bag,false,Cargo
Pedals,,false,Drivetrain
Pegs,,true,Additional Parts
Rack,,true,Cargo
Rear Suspension,,false,Frame and Fork
Rim,,true,Wheels
Saddle,,false,Additional Parts
Seat Bag,Saddle Bag,false,Cargo
Seatpost,,false,Additional Parts
Seatpost Clamp,,false,Additional Parts
Shift and Brake Lever,,true,Drivetrain
Shift Cable,,false,Drivetrain
Shifter,,true,Drivetrain
Spokes,,true,Wheels
Stem,Gooseneck,false,Additional Parts
Tire,,true,Wheels
Toe Clips,,false,Additional Parts
Top of Rack Bag,Rack Bag,false,Cargo
Top Tube Bag,Bento Box,false,Cargo
Training Wheels,,false,Wheels
Tube,,true,Wheels
unknown,,false,Additional Parts
Water Bottle Cage,,false,Additional Parts
Wheel,,true,Wheels
